match,seed,winner,timed_out,turns,wars_declared,contracts_signed,friendships_broken,units_produced,units_died,seceded_regions,avg_leader_map_share,field_hash,diplomacy_hash,max_money_0,max_money_1,max_money_2,max_money_3,max_money_4
0,1000003,1,0,62,7,33,6,136,86,0,0.3448,4699610476383949095,2840831317503893401,190,42,1013,33,41
1,1000004,3,0,46,6,35,9,51,18,0,0.3556,-2352465959846767556,6265569698161884492,52,418,2024,107,22
2,1000005,1,0,61,10,36,7,125,74,0,0.4191,3089622642219597792,-6670515432389877531,122,122,319,28,41
3,1000006,2,0,49,8,40,12,119,69,0,0.3491,8728467213915501028,4028545129981854797,59,45,335,28,49
4,1000007,0,0,35,7,25,1,76,48,0,0.3446,-1892013747189509716,-8818706170693993686,85,32,41,229,37
5,1000008,0,0,81,13,61,9,218,136,0,0.2897,-6357062514733182151,-2513293705606966130,2040,1151,4806,63,497
6,1000009,1,0,19,7,21,4,43,14,0,0.2599,-7303540460747346274,6330453097420213840,40,20,33,34,14
7,1000010,2,0,93,9,55,11,133,92,0,0.3713,3930965708563011234,-2281725451495772690,49,738,3698,20,53
8,1000011,1,0,81,14,48,8,136,100,0,0.4017,-3108130525170154752,2046195944766124360,621,171,2397,55,991
9,1000012,1,0,34,5,25,8,50,25,0,0.2953,340357704419720204,316898731123068552,77,65,26,66,37
10,1000013,4,0,115,10,39,7,251,156,0,0.5452,-4570063962660241283,3493986106494435412,102,20,1783,290,5321
11,1000014,3,0,70,10,36,10,152,99,0,0.4515,6070290468835763192,-4771390577431262909,69,35,116,384,37
12,1000015,2,0,46,5,34,5,52,31,0,0.2628,1380385410958412077,7152655781375970350,78,31,180,524,1159
13,1000016,1,0,63,11,52,10,102,62,0,0.2772,-6646571189698828942,3036006007522886957,536,1036,1689,774,2577
14,1000017,1,0,89,12,46,7,177,114,0,0.3405,7937825479444044188,3366083750356468292,199,89,1830,35,32
15,1000018,1,0,29,5,25,7,41,15,0,0.3134,-8262281725625110984,6767191960865766096,415,50,35,53,28
16,1000019,0,0,47,10,32,4,107,55,0,0.3028,-8503006602683857894,-2965052538691709821,1795,216,135,29,447
17,1000020,3,0,63,11,43,3,126,80,0,0.3492,-7176219974918256022,-1936708656739145323,85,37,27,362,931
18,1000021,3,0,41,4,27,4,75,41,0,0.3044,186691126693789312,7913648054253834317,55,131,123,509,30
19,1000022,2,0,52,7,25,5,123,75,0,0.3036,4201821454131875475,4900178792915988159,96,56,33,47,81
20,1000023,3,0,63,5,25,2,87,55,0,0.3766,281067501256828179,-2810850813554030199,84,47,167,2023,51
21,1000024,4,0,20,7,19,3,45,16,0,0.3554,2968624157647551543,8305762037995549881,27,37,73,27,16
22,1000025,0,0,63,12,41,10,149,100,0,0.3612,6231481605308253145,-4865523807491698390,70,255,768,110,56
23,1000026,2,0,61,8,41,6,137,95,0,0.3084,4793609122522682894,-2026124843129174761,1180,878,1044,56,73
24,1000027,0,0,125,13,40,5,261,178,0,0.4615,-7705067969756551558,1697000082165184005,209,53,42,40,71
25,1000028,2,0,44,6,29,9,94,54,0,0.3740,-3344190452871501387,-6092401065373803900,76,152,55,37,231
26,1000029,4,0,61,13,50,8,116,62,0,0.2881,7186007683958862599,-349721136702970961,67,33,106,494,552
27,1000030,3,0,71,9,39,8,180,139,0,0.3280,8421479694672500484,-5455716578212345986,62,483,325,164,797
28,1000031,1,0,54,10,41,3,108,68,0,0.3150,3505573128487267110,-2521180702109618152,73,523,37,1253,898
29,1000032,0,0,28,6,21,1,39,16,0,0.2903,-256348013967278397,-2452448548298907879,80,29,42,13,17
30,1000033,1,0,38,4,24,3,45,15,0,0.2757,-5878137868176923233,-3421988242340613232,56,108,54,35,106
31,1000034,0,0,62,9,26,7,45,19,0,0.4492,1166083648216289909,-3552941880156514930,547,29,21,2830,186
32,1000035,3,0,36,7,26,4,59,20,0,0.2808,-8694642989167327772,126812762749519085,65,30,63,60,37
33,1000036,4,0,33,9,29,10,73,31,0,0.2421,-2267610157198380329,-7757692552077159295,88,256,47,79,28
34,1000037,0,0,52,9,34,10,82,47,0,0.3095,-8745124649006685337,-5263273012674810784,88,25,42,102,76
35,1000038,3,0,33,6,27,6,56,22,0,0.3338,-8255094325773893626,8561160943247597256,42,81,50,29,98
36,1000039,2,0,23,8,19,5,34,11,0,0.3203,-1535602598396680461,6146724162927346566,57,37,17,107,39
37,1000040,4,0,103,14,79,10,171,122,0,0.3754,4647697294950512278,-2766576525345410363,424,75,313,4465,3493
38,1000041,1,0,60,6,32,7,115,79,0,0.4474,-2886039858697307607,5967024380828079002,276,77,50,16,42
39,1000042,2,0,57,12,42,4,94,53,0,0.4755,2588439620308871552,-7444992396904176292,68,419,32,40,135
40,1000043,2,0,65,12,43,11,138,87,0,0.4554,2258855629464714873,-2454523462488373475,165,89,63,80,55
41,1000044,4,0,46,9,35,5,103,67,0,0.2836,-6100324601522698766,7771180767565301151,264,239,47,32,31
42,1000045,3,0,50,7,27,8,46,30,0,0.3397,-3893892487381842020,-4945931831311300166,86,177,26,53,351
43,1000046,2,0,32,6,25,8,58,30,0,0.3095,-1950635987854406315,-6514802196713605029,80,159,417,155,27
44,1000047,1,0,20,4,16,3,29,3,0,0.2938,8214863132752147721,-8211128748286253424,135,64,19,14,26
45,1000048,0,0,101,10,52,13,176,129,0,0.4248,-5786157931745511214,-3098616238731764783,1999,693,58,50,3387
46,1000049,1,0,73,10,30,6,163,122,0,0.3576,-4261254899328945127,574718106458420194,123,100,25,64,88
47,1000050,0,0,37,7,27,4,72,37,0,0.3390,-7055621677440698603,-4116744676558103399,270,37,37,43,81
48,1000051,4,0,51,15,49,11,85,58,0,0.2666,1064037759032492968,-3793206325522021816,434,43,183,1140,106
49,1000052,4,0,22,7,27,8,40,7,0,0.3416,-1854251885028833919,627521349125121066,227,20,24,37,25
50,1000053,2,0,43,5,28,6,83,46,0,0.2992,-8879485647051425468,-574701542665128205,109,32,30,36,216
51,1000054,1,0,89,11,47,6,225,160,0,0.3646,-3289954227845788352,-3896259870695752419,1189,178,54,240,52
52,1000055,0,0,46,7,32,3,144,92,0,0.3379,-7014442347704517545,937136184443119145,574,443,1209,509,291
53,1000056,1,0,33,8,23,3,57,26,0,0.3159,5504700263710431437,3232057674079362651,25,85,27,64,76
54,1000057,4,0,23,10,24,4,40,10,0,0.3566,-2432706787629551841,-780884979089074549,31,35,15,55,23
55,1000058,0,0,45,7,24,3,67,34,0,0.3372,5210608870100479589,-6677886081386416117,1389,28,27,16,34
56,1000059,1,0,100,11,58,4,121,91,0,0.3991,6609667435271158923,-3919446670495503798,2088,70,618,120,567
57,1000060,0,0,71,8,52,9,153,109,0,0.3045,-4556448535038053257,-3460946869298046022,501,681,55,135,1813
58,1000061,1,0,24,7,18,2,36,9,0,0.3452,-9168783858832974335,-4786931520844042377,33,48,43,23,16
59,1000062,1,0,46,8,36,5,97,57,0,0.3015,-34437831256746622,-432304616357914005,355,226,93,138,96
60,1000063,2,0,67,11,43,7,106,63,0,0.3557,1084226485304499929,-1858395770693236252,55,114,137,32,1214
61,1000064,4,0,26,7,25,6,46,15,0,0.3019,4257959055299357795,-7233760928278865066,84,20,43,19,14
62,1000065,2,0,33,11,31,6,54,17,0,0.3030,8165176589134694736,-8009915171575329692,628,24,34,44,27
63,1000066,3,0,49,5,32,7,90,55,0,0.2571,-4190846060083806751,-8557479373579468941,113,197,83,29,28
64,1000067,0,0,93,12,40,3,255,214,0,0.4218,203569061394035189,-2500043052775590255,2048,26,1173,286,472
65,1000068,3,0,103,13,52,3,248,181,0,0.4523,2608283298997073931,7140956734777519743,399,113,45,43,532
66,1000069,3,0,64,11,42,5,135,95,0,0.3756,-5612947510173885993,6516219454908753400,40,102,290,1507,45
67,1000070,3,0,49,7,25,6,86,52,0,0.3439,-6075885843128876371,5508532096769616002,68,108,27,152,38
68,1000071,0,0,22,5,21,4,40,10,0,0.3003,-1189137074349769859,7556119371118542237,68,34,28,46,17
69,1000072,4,0,125,16,57,12,220,164,0,0.4797,5010360473669701897,428007545016659878,103,57,69,14,317
70,1000073,4,0,26,10,25,3,49,19,0,0.2537,-216505224790597159,-6170996943005228346,85,51,29,24,15
71,1000074,4,0,56,9,42,6,74,42,0,0.4261,-4572146133811035334,-1989727837317889766,90,259,23,169,27
72,1000075,0,0,55,9,37,4,115,60,0,0.3062,-4925378834795602519,-2424911628071043684,80,344,74,31,61
73,1000076,4,0,31,6,26,9,60,28,0,0.3220,1065900538034655248,4336531990270720650,327,217,25,106,53
74,1000077,4,0,78,13,45,5,277,190,0,0.3459,3076696898192196934,-6227625773592535913,70,3815,37,41,38
75,1000078,4,0,82,10,41,10,100,50,0,0.5862,5563718655924478564,-3707545580471656999,80,314,1749,317,2403
76,1000079,0,0,51,5,31,3,98,62,0,0.3397,7370256368307567457,7119092536715304026,227,442,39,27,248
77,1000080,0,0,37,6,27,5,62,34,0,0.2857,3854841747048257725,-7121180462957619669,96,180,82,45,78
78,1000081,1,0,58,12,38,8,122,84,0,0.3117,-5928269068036703879,-7619300398083102770,108,104,42,56,60
79,1000082,4,0,85,13,43,12,210,128,0,0.3436,5270027340094844840,6245771708498127993,113,1353,189,1450,1971
80,1000083,2,0,63,15,52,10,187,115,0,0.3155,7470997378437933089,-896946109050394562,339,168,40,834,193
81,1000084,4,0,69,12,56,9,80,53,0,0.3390,-9057387817531213541,-214745114937889714,644,431,393,38,39
82,1000085,0,0,58,14,47,8,81,50,0,0.4058,-3288531727228381730,5788839317721401813,161,47,57,69,123
83,1000086,4,0,60,12,43,6,88,43,0,0.4549,-1394382843914677976,-4674671676966198174,388,733,38,37,26
84,1000087,0,0,57,8,33,10,133,96,0,0.3483,3025801589347016617,8502803786711733244,2429,280,33,220,47
85,1000088,0,0,41,6,28,9,115,61,0,0.2715,3954198613432240217,-8200648415879709035,853,60,68,71,54
86,1000089,1,0,78,11,53,11,174,124,0,0.2904,546190086469174670,8912050405731078900,62,928,47,29,41
87,1000090,2,0,55,10,42,8,107,61,0,0.3284,-3400566323145517654,-7305993732273271826,89,47,614,50,34
88,1000091,3,0,90,17,42,11,139,86,0,0.4863,9001592566700027096,-6291838039554171237,56,143,20,95,89
89,1000092,0,0,92,12,41,2,223,116,0,0.3573,-1362275663010439757,-6101422388505830341,7272,884,67,24,176
90,1000093,3,0,46,6,32,4,82,54,0,0.2910,-2284285638875823305,-3075192071754546118,177,1433,86,41,875
91,1000094,4,0,83,17,47,6,130,93,0,0.4712,-1401765251623512121,-4753176609965193270,32,79,88,42,80
92,1000095,3,0,21,6,22,5,49,21,0,0.2745,7695393724690495837,-1145708650876270749,29,28,29,18,19
93,1000096,2,0,76,9,56,10,198,139,0,0.3386,536172330651258554,-1371603867759130076,1388,1420,444,623,185
94,1000097,4,0,90,12,60,16,266,169,0,0.3699,7352490295787611066,-447565207673615795,760,1499,203,65,2095
95,1000098,0,0,70,8,33,0,99,64,0,0.4388,-3479206992115588271,8081470964316812351,121,286,1482,34,26
96,1000099,0,0,51,9,36,4,76,37,0,0.3585,6993310519659086454,-1824415551708177462,1306,55,45,66,44
97,1000100,4,0,67,6,45,6,139,91,0,0.3103,8382372454569670022,8883142377616158277,646,72,2334,48,75
98,1000101,3,0,45,9,31,8,68,30,0,0.3727,1757047313226402181,6934019010102882007,57,24,31,116,32
99,1000102,2,0,24,5,18,4,44,10,0,0.3322,3028732751175598544,-7858912607283227815,61,36,22,63,19
