match,seed,winner,timed_out,turns,wars_declared,contracts_signed,friendships_broken,units_produced,units_died,seceded_regions,avg_leader_map_share,field_hash,diplomacy_hash,max_money_0,max_money_1,max_money_2,max_money_3,max_money_4
0,1000003,1,0,114,15,70,11,581,450,0,0.3740,1155364918542715334,9100949696422974517,153,6430,73,48,615
1,1000004,1,0,59,10,37,8,174,103,0,0.4371,-1672072613558157645,-8652744596649070441,52,30,44,41,71
2,1000005,1,0,38,6,23,3,109,55,0,0.3767,-528344212431658279,-6057320171937823387,85,39,487,38,41
3,1000006,2,0,51,9,25,5,112,67,0,0.3297,-1767889476514256373,-8327239428290465203,55,34,50,34,64
4,1000007,1,0,88,13,66,14,408,266,0,0.2799,-6539265146567860065,3323478533783976664,1807,2589,1559,4627,1411
5,1000008,3,0,81,13,60,10,336,224,0,0.3845,6406058245180488663,7565488107738366031,245,636,663,278,1223
6,1000009,2,0,52,7,32,2,149,79,0,0.2724,-5150982782968337901,-3471215650937259598,132,131,72,1126,31
7,1000010,1,0,87,9,51,5,333,222,0,0.3237,-221585878382351609,-5166386069703082360,148,1718,84,84,131
8,1000011,3,0,23,8,20,7,74,25,0,0.2956,-3676278185291152934,-1378355075528015480,83,49,43,15,64
9,1000012,1,0,124,16,74,16,414,291,0,0.4019,-2081054515928992995,-8183712595115580836,53,5084,80,1577,70
10,1000013,4,0,70,12,44,1,207,150,0,0.3142,-4576093808420652497,-3659791714852721085,476,313,222,86,62
11,1000014,4,0,54,10,36,6,160,95,0,0.2670,2545641176116428861,2599357124191163600,1434,35,265,59,163
12,1000015,3,0,118,10,55,13,402,304,0,0.3886,9194871488666430173,-8345865297800283414,2338,30,4620,2722,95
13,1000016,1,0,45,11,32,7,149,71,0,0.3833,6981078973985042108,-1121238136407440192,52,63,33,33,54
14,1000017,3,0,73,10,32,6,275,158,0,0.4168,-4510931575558167098,-6073154057194485951,138,154,131,63,297
15,1000018,4,0,51,4,35,9,106,57,0,0.3850,-6173320499458946726,1419296673877414249,75,735,51,53,75
16,1000019,4,0,42,6,28,5,129,65,0,0.2870,-3421658885797399528,-6092070925685340860,108,493,17,48,609
17,1000020,3,0,53,9,40,5,101,56,0,0.3332,-863764867573621795,-8428767966489943112,322,68,75,68,46
18,1000021,3,0,137,13,48,6,818,664,0,0.4771,871428990283016584,-1872501016488930911,155,2134,4000,3565,69
19,1000022,1,0,47,8,33,5,129,77,0,0.3239,-2014558569691820862,9035807139091283051,85,586,612,57,151
20,1000023,4,0,35,6,27,2,55,21,0,0.2814,2909384166023348746,1191123238080881543,66,30,496,34,53
21,1000024,4,0,61,11,45,8,263,187,0,0.4766,5832642389426524280,6407493730405913623,543,83,59,1716,61
22,1000025,4,0,40,7,27,4,126,65,0,0.2774,1933411932236555521,-7644406333062173388,307,54,527,73,45
23,1000026,3,0,184,17,77,9,743,551,0,0.4165,-517926010768812735,-834448484755238561,66,2017,365,2726,1250
24,1000027,4,0,53,9,40,7,172,92,0,0.2738,-1641735857726816789,4645274328479346663,144,320,286,45,949
25,1000028,0,0,65,9,52,9,334,177,0,0.3263,-9016817350369666524,4179431952199774263,4548,518,39,2296,235
26,1000029,2,0,64,11,41,2,155,98,0,0.3610,3751603190418809689,-6830791914575607043,93,468,190,75,313
27,1000030,1,0,41,8,30,4,115,59,0,0.3086,-3287388660313288741,-4948916657969479204,91,157,33,18,129
28,1000031,0,0,125,11,41,8,396,274,0,0.5518,-2003512460998330612,-9145946309498964747,6472,54,2835,536,375
29,1000032,3,0,60,10,40,5,190,80,0,0.3526,-2054837970649829564,3477707141569919756,89,644,1578,4855,64
30,1000033,1,0,186,12,72,8,695,533,0,0.3703,4508936970173168299,4635026629427913079,65,360,548,3301,2135
31,1000034,2,0,41,7,32,6,77,38,0,0.3031,2510158262956250098,8749776271164289018,60,38,831,126,108
32,1000035,2,0,176,9,44,6,876,623,0,0.4345,-3754288349476623952,8802638829071548249,272,56,173,162,4278
33,1000036,3,0,35,9,30,5,83,43,0,0.2471,-8169482125317412323,6982306682008755715,130,32,70,79,48
34,1000037,0,0,41,8,23,7,78,35,0,0.2772,859966239158509530,-4825409032238482633,136,47,48,58,71
35,1000038,0,0,41,7,28,4,105,49,0,0.2918,6813875685801113828,-1905609111907390176,57,246,85,39,80
36,1000039,1,0,34,7,31,8,79,26,0,0.2643,-3609259784783907888,1943274580367373804,253,50,74,342,43
37,1000040,2,0,65,9,50,12,184,120,0,0.3369,7138146039646213410,-1476758104287323440,252,171,1406,56,251
38,1000041,0,0,31,6,22,5,82,42,0,0.2843,2241814909461100228,1851585444068224021,112,66,46,25,38
39,1000042,4,0,56,9,31,3,112,67,0,0.3927,8471362681443895623,7078745889433434863,735,39,104,62,29
40,1000043,0,0,63,7,40,11,241,135,0,0.3772,3231017998980992026,7030258242229771328,2566,48,125,53,99
41,1000044,0,0,37,10,33,7,97,41,0,0.3422,9115220218474784080,-4120763679037213037,194,30,59,64,253
42,1000045,0,0,135,11,43,11,622,456,0,0.5170,-4151046679752121998,8867232594621055100,4690,63,4117,63,106
43,1000046,0,0,87,8,41,6,312,101,0,0.3154,8136389992504917195,-451624188783548719,9125,312,56,2054,923
44,1000047,1,0,91,10,56,12,334,211,0,0.3897,8866474915718810099,201068135124618201,5319,91,1287,49,298
45,1000048,1,0,65,12,46,5,294,195,0,0.3937,2247288663599820663,2821894278082886573,185,50,288,79,368
46,1000049,1,0,47,5,32,4,106,43,0,0.3316,3514597143675532272,-3597121302591347582,108,695,177,302,167
47,1000050,2,0,86,12,46,7,414,296,0,0.3852,8977572809386991631,544034385081834894,98,2157,2421,55,201
48,1000051,1,0,69,11,45,5,202,121,0,0.3719,-7865235000076989771,7227061202292687826,101,534,215,38,50
49,1000052,2,0,84,15,48,9,214,131,0,0.4202,-1964526709388739071,3243850615714750256,60,4373,118,58,287
50,1000053,2,0,37,7,34,6,97,38,0,0.2700,-6365311883331721370,4260861032403402234,186,811,509,53,107
51,1000054,3,0,35,4,21,1,58,26,0,0.2677,-8226760479798032942,1767027937502765881,293,186,193,263,92
52,1000055,0,0,111,16,68,9,521,387,0,0.3232,-4793154787756760603,-7616844441615184093,2146,579,117,844,369
53,1000056,3,0,30,6,24,2,71,20,0,0.2467,-4653650210575397565,6066330050273294169,208,48,36,38,113
54,1000057,2,0,59,10,46,9,107,54,0,0.3806,9000772526028871769,-101990349090524292,114,619,407,67,744
55,1000058,0,0,81,11,55,8,247,148,0,0.3768,-9079736133378429729,4121497010447492054,211,808,115,134,35
56,1000059,2,0,73,15,54,6,222,94,0,0.2674,8406495513444519159,4610125531377127549,4073,42,37,40,56
57,1000060,3,0,69,9,39,5,218,117,0,0.3910,2803418676810000230,-4001116620392089352,86,35,666,1555,48
58,1000061,2,0,62,9,38,7,176,119,0,0.2943,-6318616604634984465,1661389215082019041,425,66,620,600,54
59,1000062,4,0,56,7,37,9,168,99,0,0.2935,-9050383189181950143,8455811571451442902,186,52,182,25,58
60,1000063,4,0,47,6,32,5,133,58,0,0.2729,6553973690325377747,4432111884030397284,145,88,58,1952,66
61,1000064,0,0,61,10,49,10,210,133,0,0.4022,-7747753630812484155,3262754153879802894,123,761,327,147,143
62,1000065,1,0,203,19,102,14,602,424,0,0.4630,-646296640837654437,4067984901582748464,259,3863,488,64,116
63,1000066,3,0,54,8,37,7,176,108,0,0.3306,-1806375993842084222,7694795998904660532,121,1441,1006,167,292
64,1000067,3,0,40,9,32,8,112,58,0,0.3352,7654340685837185843,-1826376980168107401,87,50,953,221,116
65,1000068,4,0,33,8,31,4,78,32,0,0.2950,4741639339116784081,-4366665104498378806,54,89,52,98,52
66,1000069,2,0,152,15,79,14,859,646,0,0.4331,2258020908442131899,1855424438364601297,95,9691,2949,131,5343
67,1000070,4,0,71,7,40,9,252,157,0,0.3089,6433410941219315235,-1795279160306570793,126,38,108,62,42
68,1000071,1,0,41,12,29,2,155,86,0,0.2963,-6291916114931547533,-1875650626194732551,94,49,45,264,52
69,1000072,2,0,66,11,40,9,285,110,0,0.3755,-436579890770562132,6580236850227048640,4271,74,1013,30,76
70,1000073,1,0,97,12,42,3,323,216,0,0.5079,-4590222228573424308,-4806520044108642849,113,1267,2714,49,156
71,1000074,4,0,53,8,31,3,192,100,0,0.3613,37509112290547336,-6639834789372463423,208,914,42,41,876
