match,seed,winner,timed_out,turns,wars_declared,contracts_signed,friendships_broken,units_produced,units_died,seceded_regions,avg_leader_map_share,field_hash,diplomacy_hash,max_money_0,max_money_1,max_money_2,max_money_3,max_money_4
0,1000003,4,0,81,10,46,9,323,225,0,0.3209,3458983424012460665,8796252273538758200,148,70,92,62,440
1,1000004,1,0,87,12,47,10,252,158,0,0.3350,8755798207570979553,1029684318324547858,52,37,53,47,484
2,1000005,3,0,34,6,18,2,96,52,0,0.3349,8511788725976937167,-5831790010037059469,65,87,66,59,53
3,1000006,4,0,66,11,30,5,135,90,0,0.4440,3132577590299097756,-1842100191146561418,81,67,40,34,46
4,1000007,1,0,53,11,36,6,147,95,0,0.4727,-9178600853000694537,1128185461630343557,118,453,318,36,388
5,1000008,3,0,61,9,43,3,135,67,0,0.3519,-1807066281325987299,-7449665482387323102,81,793,175,130,95
6,1000009,2,0,105,9,39,4,312,211,0,0.4542,-4459188275209457167,-8145452504997126585,129,78,594,1909,57
7,1000010,2,0,74,10,58,12,174,97,0,0.3715,1775715655429344765,-1233968155912373166,128,241,55,677,903
8,1000011,3,0,23,8,20,7,74,25,0,0.2956,-3676278185291154856,-1378355075528015480,83,49,43,15,64
9,1000012,1,0,129,17,71,14,300,194,0,0.4181,-7368045368185477985,7561587863830758398,76,1567,899,52,383
10,1000013,4,0,82,13,48,8,243,185,0,0.3854,-2215288723094193823,-6496678350639957391,517,258,149,285,1215
11,1000014,0,0,117,13,58,8,327,217,0,0.3725,1140630852601143329,25505567676872114,278,56,1398,82,1848
12,1000015,2,0,111,14,79,16,283,184,0,0.3959,-4745477826104310840,-619355004064152697,1600,593,51,130,43
13,1000016,1,0,50,11,34,5,159,85,0,0.3152,-4345098850462239312,1851506006402347468,59,52,21,52,87
14,1000017,3,0,93,13,51,10,323,188,0,0.4584,7452488478423448987,-2333393274961016158,155,107,139,357,1639
15,1000018,4,0,58,6,46,12,138,70,0,0.3284,-6091319513274797553,-31036995031238941,111,557,46,60,89
16,1000019,1,0,65,8,27,5,195,107,0,0.4083,-8038872433282468290,8171389863330000928,160,493,35,55,441
17,1000020,2,0,86,9,39,2,207,133,0,0.3572,3295004910150733437,-7659014761240428352,1007,55,280,541,169
18,1000021,3,0,122,17,70,12,462,305,0,0.4378,2761746868655727913,8814238810305770107,831,564,357,737,1341
19,1000022,4,0,31,6,27,3,72,19,0,0.2912,4901637281056056465,6335607587960266199,78,224,413,58,26
20,1000023,2,0,65,10,36,2,176,119,0,0.3493,1249274226199958357,-5299604746321157209,75,222,129,23,371
21,1000024,4,0,68,9,45,8,256,174,0,0.4461,-2575163655749997219,5753250471710924165,583,226,267,1329,1970
22,1000025,0,0,41,10,35,4,108,64,0,0.2691,3127856797253207941,1073586245033203093,90,200,89,65,37
23,1000026,2,0,73,13,53,10,249,161,0,0.3488,4396842043339436851,-5345030620902629276,72,99,385,1051,58
24,1000027,0,0,161,18,69,12,419,273,0,0.5182,-4975348880840318890,-1769858633669809044,3339,222,121,75,2196
